"","Number","Feature","Main category","Sub-category"
"1",1,"activity_calories","Awake","Activity metrics"
"2",2,"activity_hours","Awake","Activity metrics"
"3",3,"awake_hours","Sleep","Sleep metrics"
"4",4,"awake_percentage","Sleep","Sleep metrics"
"5",5,"bad_sleep_outlier_binary","Questionnaire","Labels"
"6",6,"below_mean_sleep_binary","Questionnaire","Labels"
"7",7,"deep_sleep_hours","Sleep","Sleep metrics"
"8",8,"deep_sleep_percentage","Sleep","Sleep metrics"
"9",9,"distance","Awake","Activity metrics"
"10",10,"feeling_rested","Questionnaire","Items"
"11",11,"floors_climbed","Awake","Activity metrics"
"12",12,"light_sleep_hours","Sleep","Sleep metrics"
"13",13,"light_sleep_percentage","Sleep","Sleep metrics"
"14",14,"max_hr_30min_before_bedtime","Before Bed","Heart metrics"
"15",15,"max_hr_awake","Awake","Heart metrics"
"16",16,"max_hr_sleep","Sleep","Heart metrics"
"17",17,"max_stress_30min_before_bedtime","Before Bed","Stress metrics"
"18",18,"max_stress_awake","Awake","Stress metrics"
"19",19,"max_stress_sleep","Sleep","Stress metrics"
"20",20,"mean_hr_30min_before_bedtime","Before Bed","Heart metrics"
"21",21,"mean_hr_awake","Awake","Heart metrics"
"22",22,"mean_hr_sleep","Sleep","Heart metrics"
"23",23,"mean_stress_30min_before_bedtime","Before Bed","Stress metrics"
"24",24,"mean_stress_awake","Awake","Stress metrics"
"25",25,"mean_stress_sleep","Sleep","Stress metrics"
"26",26,"median_hr_30min_before_bedtime","Before Bed","Heart metrics"
"27",27,"median_hr_awake","Awake","Heart metrics"
"28",28,"median_hr_sleep","Sleep","Heart metrics"
"29",29,"median_stress_30min_before_bedtime","Before Bed","Stress metrics"
"30",30,"median_stress_awake","Awake","Stress metrics"
"31",31,"median_stress_sleep","Sleep","Stress metrics"
"32",32,"min_hr_30min_before_bedtime","Before Bed","Heart metrics"
"33",33,"min_hr_awake","Awake","Heart metrics"
"34",34,"min_hr_sleep","Sleep","Heart metrics"
"35",35,"min_stress_30min_before_bedtime","Before Bed","Stress metrics"
"36",36,"min_stress_awake","Awake","Stress metrics"
"37",37,"min_stress_sleep","Sleep","Stress metrics"
"38",38,"moderate_activity_hours","Awake","Activity metrics"
"39",39,"pct_5_hr_30min_before_bedtime","Before Bed","Heart metrics"
"40",40,"pct_5_hr_awake","Awake","Heart metrics"
"41",41,"pct_5_hr_sleep","Sleep","Heart metrics"
"42",42,"pct_5_stress_30min_before_bedtime","Before Bed","Stress metrics"
"43",43,"pct_5_stress_awake","Awake","Stress metrics"
"44",44,"pct_5_stress_sleep","Sleep","Stress metrics"
"45",45,"pct_95_hr_30min_before_bedtime","Before Bed","Heart metrics"
"46",46,"pct_95_hr_awake","Awake","Heart metrics"
"47",47,"pct_95_hr_sleep","Sleep","Heart metrics"
"48",48,"pct_95_stress_30min_before_bedtime","Before Bed","Stress metrics"
"49",49,"pct_95_stress_awake","Awake","Stress metrics"
"50",50,"pct_95_stress_sleep","Sleep","Stress metrics"
"51",51,"perceived_sleep_quality","Questionnaire","Items"
"52",52,"rem_sleep_hours","Sleep","Sleep metrics"
"53",53,"rem_sleep_percentage","Sleep","Sleep metrics"
"54",54,"rmssd_5min_mean_hrv_30min_before_bedtime","Before Bed","Heart rate variability"
"55",55,"rmssd_5min_mean_hrv_awake","Awake","Heart rate variability"
"56",56,"rmssd_5min_mean_hrv_sleep","Sleep","Heart rate variability"
"57",57,"rmssd_hrv_30min_before_bedtime","Before Bed","Heart rate variability"
"58",58,"rmssd_hrv_awake","Awake","Heart rate variability"
"59",59,"rmssd_hrv_sleep","Sleep","Heart rate variability"
"60",60,"sdnn_5min_mean_hrv_30min_before_bedtime","Before Bed","Heart rate variability"
"61",61,"sdnn_5min_mean_hrv_awake","Awake","Heart rate variability"
"62",62,"sdnn_5min_mean_hrv_sleep","Sleep","Heart rate variability"
"63",63,"sdnn_hrv_30min_before_bedtime","Before Bed","Heart rate variability"
"64",64,"sdnn_hrv_awake","Awake","Heart rate variability"
"65",65,"sdnn_hrv_sleep","Sleep","Heart rate variability"
"66",66,"std_hr_30min_before_bedtime","Before Bed","Heart metrics"
"67",67,"std_hr_awake","Awake","Heart metrics"
"68",68,"std_hr_sleep","Sleep","Heart metrics"
"69",69,"std_stress_30min_before_bedtime","Before Bed","Stress metrics"
"70",70,"std_stress_awake","Awake","Stress metrics"
"71",71,"std_stress_sleep","Sleep","Stress metrics"
"72",72,"steps","Awake","Activity metrics"
"73",73,"total_sleep_hours","Sleep","Sleep metrics"
"74",74,"vigorous_activity_hours","Awake","Activity metrics"
"75",75,"X._high_stress_awake","Awake","Stress metrics"
"76",76,"X._low_stress_30min_before_bedtime","Before Bed","Stress metrics"
"77",77,"X._low_stress_awake","Awake","Stress metrics"
"78",78,"X._low_stress_sleep","Sleep","Stress metrics"
"79",79,"X._medium_stress_30min_before_bedtime","Before Bed","Stress metrics"
"80",80,"X._medium_stress_awake","Awake","Stress metrics"
"81",81,"X._medium_stress_sleep","Sleep","Stress metrics"
"82",82,"X._rest_stress_30min_before_bedtime","Before Bed","Stress metrics"
"83",83,"X._rest_stress_awake","Awake","Stress metrics"
"84",84,"X._rest_stress_sleep","Sleep","Stress metrics"
"85",85,"X._stress_30min_before_bedtime","Before Bed","Stress metrics"
"86",86,"X._stress_awake","Awake","Stress metrics"
"87",87,"X._stress_sleep","Sleep","Stress metrics"
